seeds: 979422950 82612659 1548999055 34724616 2661379358 119603160 1062035609 324592756 534569941 444853009 1399214282 16464628 4257470921 37496375 3563582126 189805172 1885936801 142858899 1727947736 157989065

seed-to-soil map:
3057431476 2659317321 107109702
2511751792 2599711543 59605778
1221073020 1837753465 39598170
3502155226 3096294162 8086946
112112870 256423807 2125930
444626265 2529871120 69840423
18889275 659456324 93223595
3510242172 0 149533755
1448958313 1719854917 74810104
2667869437 2766427023 80321947
190491088 149533755 106890052
2040983761 884311172 407868340
147798694 3924192184 16252227
514466688 3482994766 15040870
2979263018 3965798935 52097778
2802387897 4092212056 176875121
2448852101 4017896713 62899691
3859771113 2204002350 129908825
4182225318 752679919 112741978
129124355 2940824024 18674339
418746146 4269087177 25880119
297381140 2463162316 66708804
1523768417 3498035636 9199800
776081971 2362753164 100409152
2029328457 2049754419 11655304
3765696059 2846748970 94075054
3031360796 1794665021 26070680
1532968217 3104381108 323957456
114238800 4080796404 11415652
1445845237 3507235436 3113076
2748191384 3940444411 25354524
2773545908 2333911175 28841989
125654452 258549737 3469903
1169357066 1820735701 15043459
1184400525 2167329855 36672495
1167382761 1835779160 1974305
0 865421897 18889275
2571357570 3842220251 81971933
164050921 3510348512 26440167
3989679938 1527309537 192545380
529507558 1292179512 235130025
364089944 3428338564 54656202
876491123 3551328613 290891638
764637583 262019640 11444388
1309049438 2959498363 136795799
1856925673 1877351635 172402784
1260671190 273464028 48378248
3164541178 321842276 337614048
2653329503 3536788679 14539934
3659775927 2061409723 105920132

soil-to-fertilizer map:
3821848243 4144883127 56354190
3774014470 1605949305 47833773
4107667970 2273375850 187299326
3134108322 2129291003 25233271
790150463 140188710 22188054
2814999732 2154524274 39554851
1890649725 2699085344 149697330
4060960645 2848782674 46707325
1686076734 3148824347 26863416
3011411460 1653783078 122696862
2579265393 3825669725 106014513
812338517 618577207 2374951
366007061 575580710 42996497
0 78438543 20960968
1850318690 2194079125 40331035
2685279906 4049907409 94975718
2952819342 2895489999 10057865
2859089363 4201237317 93729979
2780255624 4015163301 34744108
2396302966 1901950224 143996737
3159341593 3396407780 49876793
2225176411 2460675176 77392280
2302568691 2645971704 13069465
2040347055 1880269922 21680302
20960968 802548219 17384640
2540299703 2234410160 38965690
1109023535 659865167 142683052
2062027357 2985675293 163149054
1070110526 620952158 38913009
3290839336 3446284573 379385152
2971367285 2659041169 40044175
1712940150 3178364430 137378540
3878202433 2538067456 107904248
814713468 533399520 42181190
991671983 0 78438543
3288162669 3175687763 2676667
2854554583 4010628521 4534780
3986106681 2054437039 74853964
780026314 130064561 10124149
856894658 99399511 30665050
2315638156 3315742970 80664810
3670224488 1776479940 103789982
3209218386 3931684238 78944283
2962877207 2045946961 8490078
38345608 819932859 119003696
409003558 162376764 371022756
887559708 938936555 104112275
1605949305 2905547864 80127429
157349304 1043048830 208657757

fertilizer-to-water map:
707464028 1123280774 23078191
528112499 1711474496 179351529
1435660892 1307697963 44316907
1893096853 2545331765 103575653
3581639815 2308318052 114558148
4283394567 2533759036 11572729
1996672506 2725722556 343927859
840490083 746405867 130988902
971478985 507275242 239130625
3535176574 2147303978 46463241
366773501 1146358965 161338998
3392203415 3694356950 29829411
4172579582 2085100438 25874930
155977549 0 63910505
3422032826 2648907418 76815138
2851899243 3724186361 131968258
246968147 63910505 50083131
3274749382 1904677479 6571197
2592892282 4209812097 85155199
4198454512 3884576381 10268134
0 1612070982 99403514
4208722646 3227486441 74671921
2478341449 2193767219 114550833
1647648579 1102446051 20834723
3975203166 4012435681 197376416
139044047 490341740 16933502
2340600365 3987591930 24843751
814975097 1477714243 25514986
1668483302 1521555174 5633051
2983867501 3415055695 279301255
1210609610 877394769 225051282
1479977799 1570099575 41971407
3498847964 2110975368 36328610
1674116353 273632068 216709672
773453569 1503229229 18325945
2365444116 3302158362 112897333
219888054 271237368 2394700
3696197963 3069650415 157836026
99403514 206911442 39640533
3854033989 3894844515 92747415
3281320579 2422876200 110882836
3263168756 1893096853 11580626
222282754 246551975 24685393
3946781404 3856154619 28421762
2678047481 1911248676 173851762
1521949206 1352014870 125699373
791779514 113993636 23195583
730542219 1527188225 42911350
297051278 137189219 69722223

water-to-light map:
2571559768 2508618413 20161126
2093822781 527823191 165040913
2973516022 1164360059 228643035
1856648781 3418315675 18926961
3618712425 2575124238 77012942
1847169095 692864104 9479686
694566969 2317305273 27427981
482329540 1489513157 69961168
3355809523 2534268951 40855287
3748129912 2344733254 72557831
566545369 1559474325 17804268
1875575742 3209306235 136552876
3202159057 2269575752 47729521
3695725367 2652137180 52404545
2798842047 702343790 174673975
214897255 39882053 14458925
552290708 3437242636 14254661
1212660368 2925260006 284046229
4077791301 4112205549 182761747
397100283 74222167 41518753
1679664110 2462129580 46488833
721994950 1738563610 329380401
1770991438 3561067253 76177657
3476109320 3637244910 142603105
0 238823893 91814282
4024767401 4024767401 53023900
269238233 56042877 585724
2258863694 877017765 287342294
91814282 115740920 123082973
656806201 2887499238 37760768
3396664810 3557418242 3649011
3404953037 1418356874 71156283
584349637 3345859111 72456564
2012128618 3784487231 36200512
269823957 330638175 127276326
440320935 56628601 17593566
3249888578 3451497297 105920945
3400313821 3779848015 4639216
438619036 54340978 1701899
4260553048 4077791301 34414248
1051375351 1577278593 161285017
1726152943 2417291085 44838495
2546205988 1393003094 25353780
1496706597 2704541725 182957513
2793352635 2528779539 5489412
2048329130 482329540 45493651
229356180 0 39882053
2591720894 2067944011 201631741

light-to-temperature map:
558699805 2005398657 19503193
2747466056 2462217449 140203643
986108066 901365083 36430113
4185238180 3116045995 7700611
4091205277 3059111446 56934549
728126697 644531091 118733657
1708931921 0 40598424
2623615127 2799990472 87679227
4192938791 3239889689 102028505
578202998 1642628299 133681563
3466836165 3341918194 30411873
2442037353 2222121007 181577774
